model_id,data_path,target,ablation,seed,seq_len,pred_len,d_model,n_heads,e_layers,d_ff,dropout,gate_hidden,hill_d_max,residual_weight,attn_stride,attn_min_tokens,local_window,ramp_topk,periods,seasonal_lambda,recent_lambda,period_sigma,loss,huber_delta,ramp_weight,params,params_M,model_size_MB,test_loss_norm,mae_norm,rmse_norm,mape_norm,mae,rmse,mape,train_time_sec,test_time_sec,inference_time_per_sample_ms,checkpoint,loss_curve
GEF_all_full_seed2024,./GEF.csv,all,full,2024,168,24,256,8,1,512,0.1,128,2.0,0.1,4,8,48,0,"24,48,168",0.1,0.05,6.0,adaptive_ramp,0.2,0.0,562176,0.562176,2.14453125,0.1365582160651683,0.29893875,0.5099306,161.41295,87.85608,142.8982,100649610.0,145.84831857681274,0.2296895980834961,0.0310727270134599,./checkpoints_component_ablation_GEF\GEF_all_full_seed2024\best_model.pth,./results_component_ablation_GEF\GEF_all_full_seed2024\loss_curve.png
GEF_all_std_attn_seed2024,./GEF.csv,all,std_attn,2024,168,24,256,8,1,512,0.1,128,2.0,0.1,4,8,48,0,"24,48,168",0.1,0.05,6.0,adaptive_ramp,0.2,0.0,562176,0.562176,2.14453125,0.1367819709703326,0.2996591627597809,0.511480987071991,162.13002014160156,88.17382049560547,143.2562255859375,107724040.0,66.83583188056946,0.1320586204528808,0.0178650731132144,./checkpoints_component_ablation_GEF\GEF_all_std_attn_seed2024\best_model.pth,./results_component_ablation_GEF\GEF_all_std_attn_seed2024\loss_curve.png
GEF_all_fixed_hill_seed2024,./GEF.csv,all,fixed_hill,2024,168,24,256,8,1,512,0.1,128,2.0,0.1,4,8,48,0,"24,48,168",0.1,0.05,6.0,adaptive_ramp,0.2,0.0,562176,0.562176,2.14453125,0.1365265790373087,0.2988091111183166,0.5095318555831909,161.2620849609375,87.78185272216797,142.71334838867188,103674112.0,115.3964056968689,0.2045798301696777,0.0276758428259845,./checkpoints_component_ablation_GEF\GEF_all_fixed_hill_seed2024\best_model.pth,./results_component_ablation_GEF\GEF_all_fixed_hill_seed2024\loss_curve.png
GEF_all_learn_hill_no_gate_seed2024,./GEF.csv,all,learn_hill_no_gate,2024,168,24,256,8,1,512,0.1,128,2.0,0.1,4,8,48,0,"24,48,168",0.1,0.05,6.0,adaptive_ramp,0.2,0.0,562176,0.562176,2.14453125,0.1364497393369674,0.2986956238746643,0.5102946162223816,160.81298828125,87.79025268554688,142.98716735839844,102452024.0,139.49829268455505,0.2284462451934814,0.0309045245121051,./checkpoints_component_ablation_GEF\GEF_all_learn_hill_no_gate_seed2024\best_model.pth,./results_component_ablation_GEF\GEF_all_learn_hill_no_gate_seed2024\loss_curve.png
GEF_all_no_ramp_kv_seed2024,./GEF.csv,all,no_ramp_kv,2024,168,24,256,8,1,512,0.1,128,2.0,0.1,4,8,48,0,"24,48,168",0.1,0.05,6.0,adaptive_ramp,0.2,0.0,562176,0.562176,2.14453125,0.1373221119865775,0.300624668598175,0.5115472078323364,159.82546997070312,88.75636291503906,144.75759887695312,100336912.0,100.8290560245514,0.1687839031219482,0.0228333202275362,./checkpoints_component_ablation_GEF\GEF_all_no_ramp_kv_seed2024\best_model.pth,./results_component_ablation_GEF\GEF_all_no_ramp_kv_seed2024\loss_curve.png
GEF_all_no_local_gate_seed2024,./GEF.csv,all,no_local_gate,2024,168,24,256,8,1,512,0.1,128,2.0,0.1,4,8,48,0,"24,48,168",0.1,0.05,6.0,adaptive_ramp,0.2,0.0,562176,0.562176,2.14453125,0.1364690735936164,0.2987006902694702,0.5102065205574036,160.54385375976562,87.71825408935547,142.88140869140625,100348936.0,144.8948369026184,0.2306625843048095,0.0312043539373389,./checkpoints_component_ablation_GEF\GEF_all_no_local_gate_seed2024\best_model.pth,./results_component_ablation_GEF\GEF_all_no_local_gate_seed2024\loss_curve.png
GEF_all_no_seasonal_bias_seed2024,./GEF.csv,all,no_seasonal_bias,2024,168,24,256,8,1,512,0.1,128,2.0,0.1,4,8,48,0,"24,48,168",0.1,0.05,6.0,adaptive_ramp,0.2,0.0,562176,0.562176,2.14453125,0.1365935113281011,0.2990937530994415,0.5107983946800232,161.54949951171875,88.00843811035156,143.32196044921875,106238704.0,144.6901183128357,0.2243859767913818,0.0303552457780549,./checkpoints_component_ablation_GEF\GEF_all_no_seasonal_bias_seed2024\best_model.pth,./results_component_ablation_GEF\GEF_all_no_seasonal_bias_seed2024\loss_curve.png
GEF_all_no_asym_hill_seed2024,./GEF.csv,all,no_asym_hill,2024,168,24,256,8,1,512,0.1,128,2.0,0.1,4,8,48,0,"24,48,168",0.1,0.05,6.0,adaptive_ramp,0.2,0.0,562176,0.562176,2.14453125,0.1364829344674945,0.298755407333374,0.5101897716522217,160.67330932617188,87.78443145751953,142.9842071533203,103035384.0,146.06798219680786,0.2295877933502197,0.0310589547281141,./checkpoints_component_ablation_GEF\GEF_all_no_asym_hill_seed2024\best_model.pth,./results_component_ablation_GEF\GEF_all_no_asym_hill_seed2024\loss_curve.png
GEF_all_no_channel_seed2024,./GEF.csv,all,no_channel,2024,168,24,256,8,1,512,0.1,128,2.0,0.1,4,8,48,0,"24,48,168",0.1,0.05,6.0,adaptive_ramp,0.2,0.0,562176,0.562176,2.14453125,0.1412885626778006,0.3084480166435241,0.5089194178581238,163.34194946289062,94.1515655517578,152.10572814941406,162393024.0,145.89310812950134,0.2311921119689941,0.0312759891732946,./checkpoints_component_ablation_GEF\GEF_all_no_channel_seed2024\best_model.pth,./results_component_ablation_GEF\GEF_all_no_channel_seed2024\loss_curve.png
GEF_all_no_time_seed2024,./GEF.csv,all,no_time,2024,168,24,256,8,1,512,0.1,128,2.0,0.1,4,8,48,0,"24,48,168",0.1,0.05,6.0,adaptive_ramp,0.2,0.0,562176,0.562176,2.14453125,0.150657333433628,0.3257167637348175,0.5370481014251709,167.47463989257812,93.19772338867188,146.5648651123047,247468752.0,7.109135150909424,0.0317647457122802,0.0042971788030682,./checkpoints_component_ablation_GEF\GEF_all_no_time_seed2024\best_model.pth,./results_component_ablation_GEF\GEF_all_no_time_seed2024\loss_curve.png
GEF_all_no_residual_seed2024,./GEF.csv,all,no_residual,2024,168,24,256,8,1,512,0.1,128,2.0,0.1,4,8,48,0,"24,48,168",0.1,0.05,6.0,adaptive_ramp,0.2,0.0,562176,0.562176,2.14453125,0.13671841472387314,0.2991766333580017,0.510688066482544,161.65931701660156,87.89836883544922,142.84278869628906,106826128.0,146.17359352111816,0.23178744316101074,0.03135652640165189,./checkpoints_component_ablation_GEF\GEF_all_no_residual_seed2024\best_model.pth,./results_component_ablation_GEF\GEF_all_no_residual_seed2024\loss_curve.png
